d_company,fecha,Price,id_country,id_sector,Revenue:Q
1019,2022-06-16,24.25,11,3,-26.63548101
311,2022-06-16,240.54,11,5,7.583939818
300,2022-06-16,113.81,11,4,-32.95828882
663,2022-06-16,259.97,11,4,101.0289158
94,2022-06-16,71.23,11,4,-12.03228433
1357,2022-06-16,44.02,14,5,-7.371400422
26,2022-06-16,157.03,11,7,-32.92452551
653,2022-06-16,137.54,11,8,-7.560225916
23,2022-06-16,47.48,11,8,-14.90537406
487,2022-06-16,14.93,11,11,5393999872
60,2022-06-16,98.27,11,7,-62.26224988
217,2022-06-16,96.5,11,6,42.57463845
1256,2022-06-16,67.48,11,11,-26.68937817
158,2022-06-16,241.5,11,6,-35.3679551
148,2022-06-16,151.48,11,2,-38.79473094
900,2022-06-16,332.18,11,10,-21.28068774
431,2022-06-16,108.5,11,1,5393999872
606,2022-06-16,25.74,11,11,6.967984293
559,2022-06-16,62.84,11,2,9.856303945
14,2022-06-16,133.32,11,7,-20.89206801
139,2022-06-16,110.21,11,2,-4.322615523
95,2022-06-16,111.79,11,9,-34.90497423
291,2022-06-16,91.33,11,2,38.88449004
868,2022-06-16,100.28,11,4,-23.87959758
416,2022-06-16,59,11,11,-1.48408907
239,2022-06-16,300.79,11,9,1.199729882
1112,2022-06-16,36.27,11,10,-17.13756797
1096,2022-06-16,93.12,11,4,-16.33751336
62,2022-06-16,120.82,11,4,-12.51205851
576,2022-06-16,114.73,11,5,-39.52223513
671,2022-06-16,127.98,11,8,-17.99783451
2144,2022-06-16,87.14,11,10,-36.95328052
569,2022-06-16,86.49,11,2,-32.36337088
61,2022-06-16,89.52,11,5,-3.02728619
310,2022-06-16,64.23,11,9,-20.51668219
1025,2022-06-16,57.09,11,9,-13.58773499
125,2022-06-16,556.75,11,8,-13.19251931
585,2022-06-16,18.55,11,2,-8.607614953
413,2022-06-16,121.76,11,5,9.495662051
349,2022-06-16,196.23,11,8,-31.54354064
1199,2022-06-16,78.32,11,5,-16.11153743
428,2022-06-16,198.01,11,5,3.153581073
1110,2022-06-16,32.02,11,5,-24.84363739
270,2022-06-16,372.29,11,4,-22.90842552
386,2022-06-16,73.61,11,10,-12.01181588
941,2022-06-16,35.16,11,10,8.764638916
90,2022-06-16,316.03,11,2,30.47353417
50,2022-06-16,159.85,11,4,-9.161606758
435,2022-06-16,290.87,11,9,-18.66904906
135,2022-06-16,38.48,11,6,-32.13354601
905,2022-06-16,70.82,11,4,-29.705409
1337,2022-06-16,56.67,11,1,-26.60636968
237,2022-06-16,141.96,11,11,-31.35015498
134,2022-06-16,428.08,11,4,-34.87852315
201,2022-06-16,218.95,11,1,-42.69238647
1076,2022-06-16,167.55,11,2,-11.87038835
342,2022-06-16,94.62,11,9,-21.14384116
764,2022-06-16,89.75,11,4,-35.83844679
917,2022-06-16,191.82,11,5,-48.89535133
909,2022-06-16,253.98,35,4,-22.37240001
144,2022-06-16,66.28,11,11,-36.84813164
1695,2022-06-16,34.98,11,5,6.328154479
906,2022-06-16,101.7,11,5,-44.70512457
97,2022-06-16,70.95,11,10,-14.2144132
468,2022-06-16,62.33,11,2,12.14008104
643,2022-06-16,195.07,11,8,-13.50848258
133,2022-06-16,195.7,11,8,-10.36526868
