Ticker,Name
B3SA3 BS Equity,B3 SA - Brasil Bolsa Balcao
VNA GY Equity,Vonovia SE
DGX UN Equity,Quest Diagnostics Inc
STO AT Equity,Santos Ltd
AES UN Equity,AES Corp/The
6752 JT Equity,Panasonic Holdings Corp
NTRS UW Equity,Northern Trust Corp
YUMC UN Equity,Yum China Holdings Inc
6971 JT Equity,Kyocera Corp
ERICB SS Equity,Telefonaktiebolaget LM Ericsson
1810 HK Equity,Xiaomi Corp
SYF UN Equity,Synchrony Financial
6326 JT Equity,Kubota Corp
PODD UW Equity,Insulet Corp
BALL UN Equity,Ball Corp
601318 C1 Equity,Ping An Insurance Group Co of China Ltd
CMS UN Equity,CMS Energy Corp
EXPD UW Equity,Expeditors International of Washington Inc
SWEDA SS Equity,Swedbank AB
LGEN LN Equity,Legal & General Group PLC
HOLX UW Equity,Hologic Inc
IEX UN Equity,IDEX Corp
EVO SS Equity,Evolution AB
SEBA SS Equity,Skandinaviska Enskilda Banken AB
FDS UN Equity,FactSet Research Systems Inc
ALGN UW Equity,Align Technology Inc
