id_ticker,fecha,Weight,Shares,Price,id_sector,id_country,Revenue:Q,Total Return:M-6
8362,2022-06-16,0.000468,345.297,6.11,1,16,3265356800,-19.2824226
6420,2022-06-16,0.001129,1267.54348,3.82,9,16,3732740864,-22.19959161
3833,2022-06-16,0.002098,275.378,32.66,1,11,2734771968,11.40744297
6235,2022-06-16,0.000989,416.621,10.18,8,12,1272476928,-25.82972256
5303,2022-06-16,0.001259,261.40352,20.65,10,22,564406592,-31.37255064
5087,2022-06-16,0.001467,320.16264,19.64,1,19,2875588352,-39.00621452
6110,2022-06-16,0.001247,912.18876,5.86,10,11,4592615936,-34.81645959
1592,2022-06-16,0.007897,349.031,97,5,13,12320756736,1.210355443
1734,2022-06-16,0.009906,321.77936,131.97,1,19,5365266944,-13.57563598
8059,2022-06-16,0.000629,340.288,7.93,8,11,871810368,-12.28759016
5693,2022-06-16,0.002014,531.065,16.26,7,22,1917245568,9.879967457
5807,2022-06-16,0.001406,645.246,9.34,9,28,937800960,-11.19786274
5601,2022-06-16,0.001127,428.62456,11.27,5,55,7152316928,23.98240119
5318,2022-06-16,0.001338,217.754,26.35,4,22,1655074176,-3.393847131
1227,2022-06-16,0.015399,1983.60428,33.28,10,13,41599709184,-28.5223415
5351,2022-06-16,0.00121,233.932,22.17,10,18,981488768,-10.36611467
4735,2022-06-16,0.001731,155.58508,50.19,10,11,1346086400,117.5521518
1910,2022-06-16,0.010753,2835.147,16.26,1,21,68601163776,-9.507431497
4534,2022-06-16,0.002388,322.71764,31.72,2,12,2659817216,12.08480625
6641,2022-06-16,0.000834,931.503,3.84,10,27,1728670720,-30.78065109
5834,2022-06-16,0.001346,1005.13616,5.74,2,21,821908992,-12.50000273
6035,2022-06-16,0.001386,1784.79308,3.33,5,12,5210647040,-13.05483055
5699,2022-06-16,0.001269,1638.08848,3.32,4,25,1291036032,-21.88235451
5523,2022-06-16,0.001948,248.536,33.6,5,12,688547456,-6.463237121
5711,2022-06-16,0.001771,265.727,28.57,5,11,2086165504,-15.73913138
7016,2022-06-16,0.001012,367.488,11.81,1,29,1884339328,-29.40007455
4235,2022-06-16,0.001036,163.085,27.24,10,18,560573760,-4.871319948
4995,2022-06-16,0.001699,504.70252,14.43,8,22,728067392,-31.02294334
4452,2022-06-16,0.001926,1302.5278,6.67,7,46,7864199680,-10.39458401
7320,2022-06-16,0.000568,168.662,14.43,4,21,1335585024,-49.85955594
7050,2022-06-16,0.001085,282.828,16.45,10,11,5517762048,29.18094817
5511,2022-06-16,0.001453,193.203,32.23,2,24,3518602752,-22.27319127
6825,2022-06-16,0.001077,191.2946,24.13,10,18,1173592832,-6.472868704
4390,2022-06-16,0.003311,621.002,22.86,4,11,4089237760,-8.27515592
6449,2022-06-16,0.00119,566.826,9,2,30,580401280,-14.81684173
7449,2022-06-16,0.0009,661.475,5.83,2,22,3309366272,-14.90449059
4463,2022-06-16,0.001911,294.407,27.83,4,13,538629440,-37.76691548
7090,2022-06-16,0.001319,255.464,22.14,8,18,1998507008,15.19929942
6065,2022-06-16,0.001199,323.758,15.88,4,28,1730057728,-45.06116608
617,2022-06-16,0.03979,507.68004,336,1,16,66825183232,17.40041428
5638,2022-06-16,0.001084,224,20.75,2,12,1508798720,-23.3468776
5657,2022-06-16,0.001446,157.056,39.47,1,11,1898030848,-16.71316062
4361,2022-06-16,0.002203,1979.91192,4.77,2,60,7064818176,-35.80080631
3938,2022-06-16,0.003148,666.739,20.24,8,18,6078580736,-26.50513608
4809,2022-06-16,0.00239,2086.71596,4.91,5,43,3520299776,-36.31647441
3706,2022-06-16,0.002496,467.7974,22.87,1,18,2721951232,37.93727952
6518,2022-06-16,0.001487,951.189,6.7,9,14,1212740352,-31.21149932
7293,2022-06-16,0.000851,538.313,6.78,5,12,7680742912,1.497011737
6713,2022-06-16,0.001033,1254.26924,3.53,1,12,989790208,-28.54251153
7938,2022-06-16,0.000559,123.8846,20.34,1,13,914928256,-18.2571353
5625,2022-06-16,0.00114,449.02788,10.88,2,12,809576704,-35.16090781
5271,2022-06-16,0.001863,543.191,14.7,4,13,2128318080,-26.66212989
3973,2022-06-16,0.002242,603.28464,15.93,2,27,122399840,-30.55797762
6829,2022-06-16,0.001199,260.494,19.73,10,12,1370890496,-16.62548397
3646,2022-06-16,0.004235,673.885,26.94,4,21,8137590784,-1.872685951
7005,2022-06-16,0.000607,165.198,15.74,5,20,562010176,-21.80824428
6783,2022-06-16,0.001132,505.304,9.6,7,12,522722848,-2.14067308
4826,2022-06-16,0.001973,1251.48296,6.76,8,22,1285679360,-16.95331764
5554,2022-06-16,0.001182,209.653,24.16,5,12,1788906624,-18.70561252
5499,2022-06-16,0.001189,246.89,20.64,2,11,401892672,-27.3620157
6905,2022-06-16,0.001166,231.484,21.59,8,11,3642023936,-8.002790952
6900,2022-06-16,0.000901,285.35472,13.54,9,19,801414656,-29.91718336
2276,2022-06-16,0.006719,539.027,53.44,1,24,5149060608,-13.71167588
10417,2022-06-16,0.000134,13.146,9160,10,25,1.92E+11,-34.33691756
914,2022-06-16,0.019105,1490.182,54.96,1,12,18277656576,15.65068589
